County,Total Groups Tallied: Estimate,Total Groups Tallied: Margin of Error,East Asian: Estimate,East Asian: Margin of Error,"Chinese, except Taiwanese Estimate","Chinese, except Taiwanese Margin of Error",Hmong Estimate,Hmong Margin of Error,Japanese Estimate,Japanese Margin of Error,Korean Estimate,Korean Margin of Error,Mongolian Estimate,Mongolian Margin of Error,Okinawan Estimate,Okinawan Margin of Error,Taiwanese Estimate,Taiwanese Margin of Error,Other East Asian Estimate,Other East Asian Margin of Error,Southeast Asian: Estimate,Southeast Asian: Margin of Error,Burmese Estimate,Burmese Margin of Error,Cambodian Estimate,Cambodian Margin of Error,Filipino Estimate,Filipino Margin of Error,Indonesian Estimate,Indonesian Margin of Error,Laotian Estimate,Laotian Margin of Error,Malaysian Estimate,Malaysian Margin of Error,Mien Estimate,Mien Margin of Error,Singaporean Estimate,Singaporean Margin of Error,Thai Estimate,Thai Margin of Error,Vietnamese Estimate,Vietnamese Margin of Error,Other Southeast Asian Estimate,Other Southeast Asian Margin of Error
"Avery County, North Carolina",114.0,108,,,9.0,14,0.0,21,17.0,40,25.0,61,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,7.0,13,18.0,38,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Avoyelles Parish, Louisiana",296.0,46,,,87.0,95,0.0,30,7.0,7,7.0,13,0.0,30,0.0,30,0.0,30,0.0,30,,,0.0,30,0.0,30,114.0,116,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,68.0,79,0.0,30
"Añasco Municipio, Puerto Rico",37.0,46,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Baca County, Colorado",87.0,41,,,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,,,0.0,13,0.0,13,33.0,21,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,54.0,45,0.0,13
"Bacon County, Georgia",105.0,121,,,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,,,0.0,23,0.0,23,39.0,53,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,9.0,14,0.0,23
"Bailey County, Texas",226.0,108,,,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Baker County, Florida",385.0,106,,,103.0,101,0.0,28,18.0,30,18.0,34,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,24.0,28,91.0,99,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,36.0,40,8.0,14,0.0,28
"Baker County, Georgia",161.0,135,,,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,,,0.0,14,0.0,14,9.0,16,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,152.0,138,0.0,14
"Baker County, Oregon",231.0,35,,,16.0,31,0.0,21,22.0,25,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,29.0,44,22.0,24,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,127.0,58,15.0,31,0.0,21
"Baldwin County, Alabama",4179.0,395,,,640.0,357,0.0,31,398.0,153,303.0,182,0.0,31,0.0,31,6.0,11,0.0,31,,,0.0,31,0.0,31,1086.0,500,170.0,257,137.0,170,52.0,74,0.0,31,0.0,31,307.0,257,240.0,167,0.0,31
