County,Total Groups Tallied: Estimate,Total Groups Tallied: Margin of Error,East Asian: Estimate,East Asian: Margin of Error,"Chinese, except Taiwanese Estimate","Chinese, except Taiwanese Margin of Error",Hmong Estimate,Hmong Margin of Error,Japanese Estimate,Japanese Margin of Error,Korean Estimate,Korean Margin of Error,Mongolian Estimate,Mongolian Margin of Error,Okinawan Estimate,Okinawan Margin of Error,Taiwanese Estimate,Taiwanese Margin of Error,Other East Asian Estimate,Other East Asian Margin of Error,Southeast Asian: Estimate,Southeast Asian: Margin of Error,Burmese Estimate,Burmese Margin of Error,Cambodian Estimate,Cambodian Margin of Error,Filipino Estimate,Filipino Margin of Error,Indonesian Estimate,Indonesian Margin of Error,Laotian Estimate,Laotian Margin of Error,Malaysian Estimate,Malaysian Margin of Error,Mien Estimate,Mien Margin of Error,Singaporean Estimate,Singaporean Margin of Error,Thai Estimate,Thai Margin of Error,Vietnamese Estimate,Vietnamese Margin of Error,Other Southeast Asian Estimate,Other Southeast Asian Margin of Error
"Lee County, Virginia",114.0,16,,,0.0,25,0.0,25,0.0,25,13.0,23,0.0,25,0.0,25,0.0,25,0.0,25,,,0.0,25,0.0,25,20.0,23,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,27.0,39,0.0,25
"Leelanau County, Michigan",231.0,31,,,49.0,35,0.0,20,37.0,44,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,45.0,27,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,4.0,6,3.0,8,0.0,20
"Leflore County, Mississippi",143.0,141,,,46.0,72,0.0,26,1.0,5,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,,,0.0,26,0.0,26,74.0,130,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26
"Lehigh County, Pennsylvania",16266.0,358,,,3069.0,675,0.0,27,805.0,364,950.0,267,0.0,27,0.0,27,22.0,25,0.0,27,,,335.0,365,221.0,189,997.0,262,0.0,27,29.0,39,98.0,77,0.0,27,0.0,27,186.0,149,987.0,368,0.0,27
"Lemhi County, Idaho",43.0,36,,,6.0,10,0.0,17,11.0,22,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,,,0.0,17,0.0,17,15.0,25,2.0,5,0.0,17,0.0,17,0.0,17,0.0,17,9.0,15,0.0,17,0.0,17
"Lenawee County, Michigan",854.0,78,,,182.0,74,0.0,26,63.0,43,113.0,58,4.0,6,0.0,26,0.0,26,0.0,26,,,0.0,26,0.0,26,327.0,110,25.0,41,0.0,26,0.0,26,0.0,26,0.0,26,2.0,3,35.0,37,0.0,26
"Lenoir County, North Carolina",595.0,103,,,167.0,124,0.0,32,49.0,65,69.0,65,0.0,32,0.0,32,0.0,32,0.0,32,,,0.0,32,21.0,39,41.0,53,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,126.0,115,0.0,32
"Leon County, Florida",13994.0,363,,,3004.0,521,0.0,35,816.0,270,892.0,361,0.0,35,0.0,35,121.0,105,0.0,35,,,56.0,74,54.0,49,2291.0,422,8.0,14,13.0,27,23.0,36,0.0,35,0.0,35,365.0,170,1069.0,458,0.0,35
"Leon County, Texas",57.0,38,,,3.0,5,0.0,23,16.0,23,9.0,16,0.0,23,0.0,23,0.0,23,0.0,23,,,0.0,23,0.0,23,4.0,9,6.0,11,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23
"Leslie County, Kentucky",35.0,66,,,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,33.0,66,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Letcher County, Kentucky",89.0,24,,,20.0,24,0.0,24,0.0,24,6.0,9,0.0,24,15.0,23,0.0,24,0.0,24,,,0.0,24,0.0,24,2.0,4,25.0,34,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,5.0,8,0.0,24
"Levy County, Florida",522.0,48,,,137.0,102,0.0,31,75.0,74,6.0,12,0.0,31,0.0,31,0.0,31,0.0,31,,,0.0,31,9.0,28,102.0,84,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31
"Lewis County, Idaho",85.0,6,,,36.0,20,0.0,12,6.0,8,6.0,8,0.0,12,0.0,12,0.0,12,0.0,12,,,0.0,12,0.0,12,25.0,18,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,12.0,19,0.0,12
"Lewis County, Kentucky",131.0,119,,,8.0,14,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,38.0,57,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Lewis County, Missouri",91.0,52,,,4.0,7,0.0,17,14.0,28,21.0,18,0.0,17,0.0,17,0.0,17,0.0,17,,,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17
"Lewis County, New York",175.0,11,,,9.0,10,0.0,25,1.0,2,22.0,18,0.0,25,2.0,3,0.0,25,0.0,25,,,0.0,25,0.0,25,56.0,53,0.0,25,3.0,4,0.0,25,0.0,25,0.0,25,0.0,25,12.0,17,0.0,25
"Lewis County, Tennessee",124.0,140,,,32.0,56,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,18.0,35,0.0,21,0.0,21
"Lewis County, Washington",1962.0,233,,,186.0,106,0.0,31,194.0,142,381.0,157,7.0,10,0.0,31,0.0,31,0.0,31,,,0.0,31,13.0,22,699.0,274,2.0,4,0.0,31,0.0,31,0.0,31,0.0,31,6.0,8,274.0,163,0.0,31
"Lewis County, West Virginia",129.0,107,,,0.0,20,0.0,20,0.0,20,93.0,91,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,36.0,46,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Lewis and Clark County, Montana",1056.0,88,,,77.0,84,0.0,26,195.0,119,210.0,105,0.0,26,0.0,26,23.0,36,0.0,26,,,5.0,8,1.0,3,202.0,95,49.0,64,0.0,26,0.0,26,0.0,26,0.0,26,157.0,99,18.0,27,0.0,26
"Lexington County, South Carolina",8535.0,241,,,1147.0,418,94.0,121,372.0,139,602.0,204,0.0,33,0.0,33,72.0,65,0.0,33,,,66.0,139,42.0,54,1147.0,352,10.0,16,213.0,178,0.0,33,0.0,33,73.0,109,345.0,176,492.0,238,13.0,20
"Lexington city, Virginia",444.0,157,,,250.0,158,0.0,19,61.0,82,45.0,58,0.0,19,0.0,19,18.0,42,0.0,19,,,0.0,19,0.0,19,64.0,52,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19
"Liberty County, Florida",80.0,17,,,0.0,21,0.0,21,4.0,9,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,70.0,27,0.0,21
"Liberty County, Georgia",2355.0,323,,,77.0,52,0.0,34,369.0,198,685.0,343,0.0,34,0.0,34,0.0,34,0.0,34,,,0.0,34,14.0,20,443.0,191,4.0,7,16.0,25,0.0,34,0.0,34,0.0,34,5.0,8,198.0,140,0.0,34
"Liberty County, Montana",0.0,11,,,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,,,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11
"Liberty County, Texas",834.0,88,,,8.0,19,0.0,35,31.0,37,64.0,103,0.0,35,0.0,35,0.0,35,0.0,35,,,0.0,35,17.0,32,366.0,222,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,0.0,35,208.0,194,0.0,35
"Licking County, Ohio",7154.0,261,,,689.0,354,19.0,33,363.0,224,415.0,236,10.0,17,0.0,30,30.0,37,0.0,30,,,18.0,21,20.0,21,402.0,207,0.0,30,69.0,100,0.0,30,0.0,30,0.0,30,77.0,115,319.0,136,0.0,30
"Limestone County, Alabama",2890.0,288,,,542.0,233,0.0,31,247.0,151,475.0,279,0.0,31,0.0,31,0.0,31,0.0,31,,,0.0,31,15.0,26,532.0,372,12.0,22,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,149.0,155,0.0,31
"Limestone County, Texas",242.0,28,,,9.0,18,0.0,28,0.0,28,40.0,48,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,4.0,9,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,158.0,65,0.0,28
"Lincoln County, Arkansas",79.0,92,,,20.0,38,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,47.0,79,0.0,20,0.0,20
"Lincoln County, Colorado",0.0,19,,,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,,,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19
"Lincoln County, Georgia",86.0,81,,,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,8.0,17,0.0,20
"Lincoln County, Idaho",97.0,57,,,31.0,37,0.0,17,14.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,,,0.0,17,0.0,17,30.0,28,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,15.0,20,0.0,17,0.0,17
"Lincoln County, Kansas",23.0,26,,,0.0,11,0.0,11,21.0,26,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,,,0.0,11,0.0,11,2.0,4,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11
"Lincoln County, Kentucky",292.0,165,,,57.0,57,0.0,24,26.0,29,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,39.0,49,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,15.0,23,12.0,21,0.0,24
"Lincoln County, Maine",417.0,4,,,86.0,64,0.0,23,17.0,16,10.0,14,0.0,23,0.0,23,10.0,12,0.0,23,,,0.0,23,0.0,23,115.0,70,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,1.0,2,65.0,49,0.0,23
"Lincoln County, Minnesota",48.0,13,,,6.0,6,4.0,6,4.0,11,10.0,11,0.0,13,0.0,13,0.0,13,0.0,13,,,0.0,13,0.0,13,19.0,14,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,0.0,13,5.0,6,0.0,13
"Lincoln County, Mississippi",221.0,11,,,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,,,0.0,30,9.0,17,10.0,25,15.0,29,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,32.0,74,0.0,30
"Lincoln County, Missouri",506.0,45,,,97.0,61,0.0,28,54.0,62,15.0,19,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,30.0,54,284.0,92,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,5.0,10,14.0,15,0.0,28
"Lincoln County, Montana",166.0,15,,,70.0,47,0.0,20,26.0,22,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,54.0,47,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Lincoln County, Nebraska",439.0,72,,,11.0,23,0.0,22,116.0,80,52.0,31,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,0.0,22,138.0,84,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,27.0,39,54.0,70,0.0,22
"Lincoln County, Nevada",2.0,4,,,0.0,14,0.0,14,0.0,14,1.0,3,0.0,14,0.0,14,0.0,14,0.0,14,,,0.0,14,0.0,14,1.0,3,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14,0.0,14
"Lincoln County, New Mexico",172.0,21,,,12.0,21,0.0,25,30.0,34,26.0,32,0.0,25,0.0,25,11.0,19,0.0,25,,,0.0,25,0.0,25,12.0,21,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,33.0,44,0.0,25,0.0,25
"Lincoln County, North Carolina",1187.0,180,,,174.0,169,117.0,124,91.0,89,83.0,63,0.0,32,0.0,32,0.0,32,0.0,32,,,18.0,28,0.0,32,311.0,128,53.0,89,42.0,58,0.0,32,0.0,32,0.0,32,0.0,32,217.0,129,0.0,32
"Lincoln County, Oklahoma",332.0,38,,,17.0,11,0.0,22,45.0,43,5.0,8,0.0,22,0.0,22,0.0,22,0.0,22,,,0.0,22,70.0,70,61.0,41,28.0,21,8.0,13,0.0,22,0.0,22,0.0,22,8.0,13,16.0,15,0.0,22
"Lincoln County, Oregon",1246.0,103,,,273.0,73,0.0,31,190.0,119,243.0,111,0.0,31,0.0,31,0.0,31,0.0,31,,,0.0,31,0.0,31,275.0,163,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,163.0,172,42.0,32,0.0,31
"Lincoln County, South Dakota",1489.0,98,,,88.0,63,0.0,24,261.0,188,124.0,133,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,134.0,104,0.0,24,0.0,24,6.0,11,0.0,24,0.0,24,0.0,24,126.0,141,0.0,24
"Lincoln County, Tennessee",316.0,35,,,10.0,14,0.0,29,5.0,7,0.0,29,0.0,29,0.0,29,0.0,29,0.0,29,,,0.0,29,27.0,34,121.0,72,0.0,29,4.0,8,0.0,29,0.0,29,0.0,29,0.0,29,80.0,78,0.0,29
"Lincoln County, Washington",143.0,3,,,40.0,26,0.0,21,21.0,20,0.0,21,2.0,4,1.0,3,0.0,21,0.0,21,,,0.0,21,0.0,21,64.0,28,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,8.0,13,0.0,21
"Lincoln County, West Virginia",46.0,72,,,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,46.0,72,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Lincoln County, Wisconsin",284.0,37,,,51.0,49,13.0,17,67.0,45,6.0,10,0.0,18,0.0,18,0.0,18,0.0,18,,,0.0,18,0.0,18,86.0,40,0.0,18,2.0,4,0.0,18,0.0,18,0.0,18,4.0,6,14.0,23,0.0,18
"Lincoln County, Wyoming",191.0,25,,,40.0,31,0.0,24,32.0,28,44.0,46,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,66.0,51,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Lincoln Parish, Louisiana",958.0,238,,,78.0,75,0.0,30,72.0,63,231.0,284,0.0,30,0.0,30,13.0,24,0.0,30,,,0.0,30,0.0,30,115.0,104,15.0,26,0.0,30,8.0,17,0.0,30,0.0,30,0.0,30,151.0,152,0.0,30
"Linn County, Iowa",7508.0,286,,,649.0,201,29.0,26,238.0,144,595.0,258,0.0,24,0.0,24,0.0,24,0.0,24,,,364.0,254,31.0,32,765.0,285,164.0,176,354.0,202,0.0,24,0.0,24,0.0,24,187.0,136,496.0,245,0.0,24
"Linn County, Kansas",45.0,28,,,5.0,8,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,,,0.0,16,0.0,16,20.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,1.0,16,7.0,10,0.0,16
"Linn County, Missouri",74.0,62,,,0.0,19,0.0,19,7.0,11,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,,,0.0,19,0.0,19,23.0,50,22.0,28,3.0,4,0.0,19,0.0,19,0.0,19,0.0,19,19.0,23,0.0,19
"Linn County, Oregon",3244.0,231,,,694.0,191,125.0,122,557.0,258,349.0,142,0.0,31,6.0,10,0.0,31,0.0,31,,,0.0,31,7.0,14,955.0,311,17.0,26,89.0,97,0.0,31,0.0,31,0.0,31,19.0,22,99.0,77,0.0,31
"Lipscomb County, Texas",23.0,29,,,0.0,15,0.0,15,0.0,15,4.0,5,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,19.0,28,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Little River County, Arkansas",47.0,35,,,0.0,20,0.0,20,17.0,25,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,,,0.0,20,0.0,20,19.0,21,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,8.0,12,0.0,20
"Live Oak County, Texas",479.0,167,,,9.0,19,0.0,23,378.0,170,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,,,0.0,23,0.0,23,73.0,86,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23
"Livingston County, Illinois",406.0,83,,,18.0,26,0.0,26,15.0,21,38.0,50,0.0,26,0.0,26,0.0,26,0.0,26,,,0.0,26,0.0,26,237.0,100,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,33.0,40,0.0,26
"Livingston County, Kentucky",15.0,22,,,2.0,3,0.0,18,0.0,18,6.0,14,0.0,18,0.0,18,0.0,18,0.0,18,,,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18
"Livingston County, Michigan",3128.0,153,,,614.0,196,87.0,95,287.0,177,394.0,131,0.0,26,0.0,26,5.0,9,0.0,26,,,0.0,26,20.0,29,434.0,164,0.0,26,0.0,26,0.0,26,9.0,14,0.0,26,164.0,100,286.0,153,0.0,26
"Livingston County, Missouri",176.0,37,,,4.0,5,0.0,19,16.0,27,51.0,42,0.0,19,0.0,19,0.0,19,0.0,19,,,0.0,19,0.0,19,26.0,29,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,0.0,19,15.0,23,0.0,19
"Livingston County, New York",1209.0,88,,,157.0,105,0.0,31,105.0,80,206.0,121,0.0,31,0.0,31,24.0,42,0.0,31,,,0.0,31,0.0,31,231.0,131,12.0,17,36.0,51,19.0,30,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31
"Livingston Parish, Louisiana",1721.0,217,,,548.0,256,0.0,33,200.0,207,269.0,172,0.0,33,0.0,33,0.0,33,0.0,33,,,0.0,33,0.0,33,249.0,194,13.0,26,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,307.0,259,0.0,33
"Llano County, Texas",242.0,69,,,0.0,28,0.0,28,67.0,69,3.0,4,6.0,14,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,19.0,24,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,111.0,67,0.0,28
"Logan County, Arkansas",500.0,19,,,68.0,65,133.0,94,0.0,24,40.0,51,0.0,24,0.0,24,0.0,24,0.0,24,,,8.0,15,0.0,24,147.0,65,0.0,24,102.0,78,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Logan County, Colorado",266.0,32,,,56.0,64,0.0,25,58.0,72,73.0,41,0.0,25,0.0,25,0.0,25,0.0,25,,,0.0,25,17.0,26,26.0,40,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,18.0,23,0.0,25
"Logan County, Illinois",308.0,34,,,51.0,44,0.0,23,0.0,23,49.0,53,0.0,23,0.0,23,25.0,31,0.0,23,,,1.0,3,0.0,23,138.0,72,21.0,42,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23
"Logan County, Kansas",18.0,16,,,0.0,11,0.0,11,2.0,4,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,,,0.0,11,0.0,11,8.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11,0.0,11
"Logan County, Kentucky",151.0,23,,,25.0,36,0.0,24,15.0,26,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,,,0.0,24,0.0,24,43.0,44,0.0,24,47.0,61,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24
"Logan County, Nebraska",0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Logan County, North Dakota",4.0,5,,,0.0,10,0.0,10,0.0,10,4.0,5,0.0,10,0.0,10,0.0,10,0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Logan County, Ohio",618.0,103,,,127.0,108,0.0,27,21.0,22,103.0,94,0.0,27,0.0,27,0.0,27,0.0,27,,,0.0,27,0.0,27,258.0,108,0.0,27,5.0,11,0.0,27,0.0,27,0.0,27,0.0,27,5.0,13,0.0,27
"Logan County, Oklahoma",565.0,89,,,117.0,92,14.0,27,85.0,62,81.0,78,0.0,24,0.0,24,0.0,24,0.0,24,,,26.0,42,0.0,24,125.0,96,5.0,8,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,35.0,35,0.0,24
"Logan County, West Virginia",121.0,99,,,0.0,27,0.0,27,97.0,94,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,,,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,0.0,27,7.0,12,3.0,7,0.0,27
"Long County, Georgia",244.0,263,,,0.0,23,0.0,23,44.0,82,176.0,207,0.0,23,0.0,23,0.0,23,0.0,23,,,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,12.0,25,0.0,23
"Lonoke County, Arkansas",1220.0,82,,,80.0,86,0.0,30,126.0,88,98.0,79,0.0,30,0.0,30,10.0,16,0.0,30,,,0.0,30,0.0,30,469.0,173,0.0,30,95.0,92,0.0,30,0.0,30,0.0,30,0.0,30,130.0,138,0.0,30
"Lorain County, Ohio",6309.0,299,,,1134.0,435,0.0,30,453.0,245,601.0,300,0.0,30,0.0,30,62.0,68,0.0,30,,,0.0,30,78.0,154,952.0,308,22.0,34,125.0,140,0.0,30,0.0,30,0.0,30,208.0,128,282.0,165,0.0,30
"Los Alamos County, New Mexico",1676.0,290,,,609.0,196,0.0,21,242.0,150,280.0,172,0.0,21,0.0,21,153.0,128,0.0,21,,,0.0,21,0.0,21,114.0,89,22.0,33,0.0,21,0.0,21,0.0,21,0.0,21,5.0,9,18.0,31,0.0,21
"Los Angeles County, California",1772595.0,5474,,,519936.0,7139,1339.0,499,145836.0,4574,224630.0,5214,3847.0,1161,720.0,243,43648.0,2784,78.0,80,,,9040.0,1333,40264.0,3025,416221.0,6867,15107.0,1346,5078.0,1209,1725.0,339,327.0,293,698.0,226,29074.0,1927,130974.0,5236,305.0,162
"Loudon County, Tennessee",655.0,68,,,48.0,55,0.0,32,56.0,57,39.0,54,0.0,32,0.0,32,130.0,157,0.0,32,,,0.0,32,0.0,32,301.0,213,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,53.0,66,0.0,32
"Loudoun County, Virginia",105196.0,913,,,8623.0,1195,0.0,31,2381.0,484,7796.0,1079,298.0,152,71.0,107,634.0,259,0.0,31,,,243.0,149,913.0,330,6503.0,895,448.0,251,854.0,365,220.0,144,0.0,31,0.0,31,1155.0,416,7735.0,1080,0.0,31
"Louisa County, Iowa",216.0,103,,,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,,,198.0,99,0.0,16,9.0,13,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,2.0,4,0.0,16
"Louisa County, Virginia",420.0,28,,,95.0,95,0.0,28,69.0,69,72.0,77,0.0,28,0.0,28,60.0,63,0.0,28,,,0.0,28,0.0,28,74.0,63,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,20.0,24,0.0,28
"Loup County, Nebraska",0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,,,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10,0.0,10
"Love County, Oklahoma",126.0,29,,,3.0,5,0.0,16,14.0,20,6.0,12,0.0,16,0.0,16,0.0,16,0.0,16,,,0.0,16,0.0,16,44.0,34,0.0,16,0.0,16,0.0,16,0.0,16,0.0,16,14.0,18,15.0,11,0.0,16
"Loving County, Texas",5.0,7,,,5.0,7,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Lower Connecticut River Valley Planning Region, Connecticut",7379.0,169,,,2130.0,431,8.0,16,361.0,211,354.0,216,23.0,35,0.0,32,93.0,78,13.0,24,,,0.0,32,430.0,337,716.0,291,7.0,12,44.0,39,8.0,15,0.0,32,11.0,16,73.0,99,489.0,323,0.0,32
"Lowndes County, Alabama",16.0,29,,,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,,,0.0,21,0.0,21,16.0,29,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21
"Lowndes County, Georgia",3722.0,321,,,458.0,308,0.0,34,103.0,83,556.0,207,0.0,34,0.0,34,18.0,30,0.0,34,,,0.0,34,0.0,34,1183.0,464,6.0,12,95.0,97,0.0,34,0.0,34,0.0,34,298.0,218,216.0,191,0.0,34
"Lowndes County, Mississippi",775.0,84,,,79.0,69,0.0,33,87.0,62,28.0,31,1.0,2,0.0,33,20.0,36,0.0,33,,,0.0,33,0.0,33,211.0,107,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,51.0,58,0.0,33
"Loíza Municipio, Puerto Rico",72.0,73,,,0.0,28,0.0,28,19.0,32,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,,,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28,0.0,28
"Lubbock County, Texas",9831.0,519,,,2131.0,583,0.0,35,225.0,110,784.0,262,19.0,22,0.0,35,96.0,75,0.0,35,,,67.0,70,239.0,336,2486.0,703,123.0,116,9.0,15,25.0,38,0.0,35,0.0,35,224.0,142,657.0,220,0.0,35
"Lucas County, Iowa",87.0,26,,,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,69.0,35,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
"Lucas County, Ohio",10507.0,451,,,2300.0,448,31.0,47,469.0,173,828.0,244,0.0,30,0.0,30,186.0,156,13.0,19,,,0.0,30,33.0,51,1788.0,412,58.0,91,188.0,156,20.0,28,0.0,30,0.0,30,267.0,129,510.0,261,86.0,128
"Luce County, Michigan",56.0,17,,,0.0,15,0.0,15,5.0,8,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,,,0.0,15,0.0,15,8.0,13,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15,0.0,15
