County,B02018_002E,B02018_002M,B02018_003E,B02018_003M,B02018_004E,B02018_004M,B02018_005E,B02018_005M,B02018_006E,B02018_006M,B02018_007E,B02018_007M,B02018_008E,B02018_008M,B02018_009E,B02018_009M,B02018_011E,B02018_011M,B02018_012E,B02018_012M,B02018_013E,B02018_013M,B02018_014E,B02018_014M,B02018_015E,B02018_015M,B02018_016E,B02018_016M,B02018_017E,B02018_017M,B02018_018E,B02018_018M,B02018_019E,B02018_019M,B02018_020E,B02018_020M,B02018_021E,B02018_021M
"Lea County, New Mexico",5.0,6,0.0,31,5.0,11,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,417.0,267,4.0,8,0.0,31,0.0,31,0.0,31,0.0,31,8.0,18,7.0,9,0.0,31
"Leake County, Mississippi",0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,16.0,28,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26
"Leavenworth County, Kansas",256.0,114,0.0,27,488.0,173,667.0,167,0.0,27,0.0,27,11.0,12,0.0,27,0.0,27,0.0,27,306.0,146,0.0,27,52.0,70,0.0,27,0.0,27,0.0,27,66.0,77,104.0,84,0.0,27
"Lebanon County, Pennsylvania",703.0,218,5.0,9,60.0,56,236.0,130,0.0,27,0.0,27,0.0,27,0.0,27,18.0,25,200.0,140,380.0,231,33.0,49,0.0,27,0.0,27,0.0,27,0.0,27,49.0,43,330.0,189,0.0,27
"Lee County, Alabama",2039.0,497,0.0,31,357.0,174,3559.0,469,0.0,31,0.0,31,29.0,41,0.0,31,0.0,31,0.0,31,466.0,255,37.0,60,76.0,102,6.0,12,0.0,31,0.0,31,107.0,73,423.0,225,0.0,31
"Lee County, Arkansas",7.0,11,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,17.0,19,0.0,18
"Lee County, Florida",4255.0,742,0.0,35,828.0,265,561.0,176,20.0,31,0.0,35,111.0,110,0.0,35,188.0,128,185.0,172,4405.0,809,138.0,179,643.0,385,36.0,35,0.0,35,29.0,49,308.0,143,2465.0,612,0.0,35
"Lee County, Georgia",16.0,42,0.0,30,0.0,30,365.0,338,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,226.0,216,0.0,30,0.0,30,0.0,30,0.0,30,0.0,30,84.0,138,149.0,221,0.0,30
"Lee County, Illinois",71.0,53,0.0,26,15.0,23,19.0,19,5.0,9,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,202.0,75,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,2.0,4,0.0,26
"Lee County, Iowa",94.0,55,0.0,22,25.0,32,23.0,24,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,98.0,89,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,12.0,19,18.0,28
"Lee County, Kentucky",0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18,0.0,18
"Lee County, Mississippi",29.0,39,0.0,33,25.0,48,115.0,148,7.0,17,0.0,33,0.0,33,0.0,33,0.0,33,0.0,33,17.0,26,5.0,9,23.0,41,0.0,33,0.0,33,0.0,33,134.0,54,402.0,239,0.0,33
"Lee County, North Carolina",139.0,115,0.0,32,45.0,53,190.0,139,0.0,32,0.0,32,7.0,13,0.0,32,0.0,32,0.0,32,330.0,229,43.0,80,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,244.0,219,0.0,32
"Lee County, South Carolina",0.0,22,12.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,12.0,19,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22,0.0,22
"Lee County, Texas",0.0,23,0.0,23,12.0,19,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,5.0,10,0.0,23,0.0,23
"Lee County, Virginia",0.0,25,0.0,25,0.0,25,13.0,23,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,20.0,23,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,0.0,25,27.0,39,0.0,25
"Leelanau County, Michigan",49.0,35,0.0,20,37.0,44,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,45.0,27,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,4.0,6,3.0,8,0.0,20
"Leflore County, Mississippi",46.0,72,0.0,26,1.0,5,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,74.0,130,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26
"Lehigh County, Pennsylvania",3069.0,675,0.0,27,805.0,364,950.0,267,0.0,27,0.0,27,22.0,25,0.0,27,335.0,365,221.0,189,997.0,262,0.0,27,29.0,39,98.0,77,0.0,27,0.0,27,186.0,149,987.0,368,0.0,27
"Lemhi County, Idaho",6.0,10,0.0,17,11.0,22,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,15.0,25,2.0,5,0.0,17,0.0,17,0.0,17,0.0,17,9.0,15,0.0,17,0.0,17
"Lenawee County, Michigan",182.0,74,0.0,26,63.0,43,113.0,58,4.0,6,0.0,26,0.0,26,0.0,26,0.0,26,0.0,26,327.0,110,25.0,41,0.0,26,0.0,26,0.0,26,0.0,26,2.0,3,35.0,37,0.0,26
"Lenoir County, North Carolina",167.0,124,0.0,32,49.0,65,69.0,65,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,21.0,39,41.0,53,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,0.0,32,126.0,115,0.0,32
"Leon County, Florida",3004.0,521,0.0,35,816.0,270,892.0,361,0.0,35,0.0,35,121.0,105,0.0,35,56.0,74,54.0,49,2291.0,422,8.0,14,13.0,27,23.0,36,0.0,35,0.0,35,365.0,170,1069.0,458,0.0,35
"Leon County, Texas",3.0,5,0.0,23,16.0,23,9.0,16,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,4.0,9,6.0,11,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23,0.0,23
"Leslie County, Kentucky",0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,33.0,66,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Letcher County, Kentucky",20.0,24,0.0,24,0.0,24,6.0,9,0.0,24,15.0,23,0.0,24,0.0,24,0.0,24,0.0,24,2.0,4,25.0,34,0.0,24,0.0,24,0.0,24,0.0,24,0.0,24,5.0,8,0.0,24
"Levy County, Florida",137.0,102,0.0,31,75.0,74,6.0,12,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,9.0,28,102.0,84,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31,0.0,31
"Lewis County, Idaho",36.0,20,0.0,12,6.0,8,6.0,8,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,25.0,18,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,0.0,12,12.0,19,0.0,12
"Lewis County, Kentucky",8.0,14,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,38.0,57,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Lewis County, Missouri",4.0,7,0.0,17,14.0,28,21.0,18,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17,0.0,17
"Lewis County, New York",9.0,10,0.0,25,1.0,2,22.0,18,0.0,25,2.0,3,0.0,25,0.0,25,0.0,25,0.0,25,56.0,53,0.0,25,3.0,4,0.0,25,0.0,25,0.0,25,0.0,25,12.0,17,0.0,25
"Lewis County, Tennessee",32.0,56,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,0.0,21,18.0,35,0.0,21,0.0,21
"Lewis County, Washington",186.0,106,0.0,31,194.0,142,381.0,157,7.0,10,0.0,31,0.0,31,0.0,31,0.0,31,13.0,22,699.0,274,2.0,4,0.0,31,0.0,31,0.0,31,0.0,31,6.0,8,274.0,163,0.0,31
"Lewis County, West Virginia",0.0,20,0.0,20,0.0,20,93.0,91,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,36.0,46,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20,0.0,20
"Lewis and Clark County, Montana",77.0,84,0.0,26,195.0,119,210.0,105,0.0,26,0.0,26,23.0,36,0.0,26,5.0,8,1.0,3,202.0,95,49.0,64,0.0,26,0.0,26,0.0,26,0.0,26,157.0,99,18.0,27,0.0,26
