,GEOIDFQ,B02018_017E,B02018_018E,B02018_015E,B02018_016E,B02018_019E,B02018_012E,B02018_013E,B02018_014E,B02018_010E,B02018_011E,B02018_005E,B02018_006E,B02018_003E,B02018_004E,B02018_009E,B02018_007E,B02018_008E,B02018_002E,B02018_020E
262,0500000US08033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0500000US08035,0,577,51,0,1933,3495,232,283,0,24,4321,201,178,2411,0,0,214,4239,0
264,0500000US08037,0,0,0,0,30,118,0,0,0,0,83,0,0,59,0,0,0,115,0
265,0500000US08039,0,14,0,0,33,170,51,25,0,0,138,0,0,66,0,0,0,43,0
266,0500000US08041,32,1157,0,0,2616,10341,385,245,37,85,8617,191,74,4678,0,26,411,5829,0
267,0500000US08043,0,0,0,0,193,62,0,0,0,0,51,0,0,52,0,0,0,118,0
268,0500000US08045,0,14,0,0,62,184,0,0,0,14,89,0,0,85,0,0,0,335,0
269,0500000US08047,0,11,0,0,17,14,0,0,0,0,8,4,0,12,0,0,0,10,0
270,0500000US08049,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0
271,0500000US08051,0,10,0,0,24,28,0,0,0,0,59,0,0,73,0,0,0,43,0
272,0500000US08053,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
273,0500000US08055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0500000US08057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,0500000US08059,12,542,9,0,4472,3045,189,300,38,258,2699,135,341,3252,18,45,406,5118,0
276,0500000US08061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0500000US08063,0,0,0,0,0,45,0,0,0,0,28,0,0,22,0,0,0,0,0
278,0500000US08065,0,0,0,0,0,7,0,0,0,0,21,0,0,9,0,13,0,25,0
279,0500000US08067,0,7,0,0,90,170,12,0,0,0,56,7,0,169,0,0,0,126,0
280,0500000US08069,0,470,35,0,1004,1473,192,37,7,91,1694,0,11,1404,0,0,128,2846,0
281,0500000US08071,0,96,22,0,0,75,35,0,0,0,121,0,0,0,0,0,0,42,0
282,0500000US08073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,0500000US08075,0,0,0,0,18,26,0,0,0,17,73,0,0,58,0,0,0,56,0
284,0500000US08077,0,68,0,0,372,821,0,0,0,0,327,0,0,625,0,0,27,459,0
285,0500000US08079,0,0,0,0,0,0,0,0,0,0,0,34,0,11,0,0,0,0,0
286,0500000US08081,0,0,0,0,0,80,0,0,0,0,24,0,0,35,0,0,0,0,0
287,0500000US08083,0,21,0,0,0,42,8,0,0,16,0,0,0,19,0,3,0,173,0
288,0500000US08085,0,0,0,0,39,150,0,0,0,21,67,0,0,155,0,0,0,65,0
289,0500000US08087,0,0,0,0,2,63,0,0,0,0,51,0,0,95,0,0,0,71,0
290,0500000US08089,0,0,0,0,32,24,0,0,0,0,41,34,0,24,0,0,0,5,0
291,0500000US08091,0,0,0,0,73,0,11,0,0,0,4,0,0,0,0,0,0,16,0
292,0500000US08093,0,0,0,0,0,83,0,0,0,0,85,0,0,17,0,0,0,25,0
293,0500000US08095,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,0,0
294,0500000US08097,0,101,0,0,0,60,216,0,0,0,3,0,0,2,0,0,0,110,0
295,0500000US08099,0,0,0,0,0,46,0,0,0,0,48,0,0,0,0,0,0,9,0
296,0500000US08101,25,147,0,0,139,934,59,0,0,0,546,0,0,443,0,0,6,254,0
297,0500000US08103,0,0,0,0,0,0,0,0,0,0,7,0,0,9,0,0,0,12,92
298,0500000US08105,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,0,0,0
299,0500000US08107,0,4,0,0,42,104,7,0,3,0,10,0,0,75,0,0,0,117,0
300,0500000US08109,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0500000US08111,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,9,0
302,0500000US08113,0,0,0,0,0,16,0,0,0,0,0,0,2,0,0,0,0,17,0
303,0500000US08115,0,0,0,0,0,4,0,0,0,0,9,0,0,28,0,0,0,19,0
304,0500000US08117,0,81,0,0,16,0,0,0,0,0,37,0,0,107,0,0,0,129,0
305,0500000US08119,0,109,0,0,25,31,103,0,0,0,90,0,0,20,0,0,0,46,0
306,0500000US08121,0,0,0,0,1,8,0,0,0,11,9,0,0,7,0,0,0,0,0
307,0500000US08123,0,336,18,0,905,1932,26,118,346,284,676,68,928,1368,6,18,341,1278,0
308,0500000US08125,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,45,0
309,0500000US09110,43,422,165,0,4616,4701,174,974,206,304,3694,30,2,1844,0,12,512,12467,0
310,0500000US09120,25,169,122,0,1963,2120,95,1426,135,978,1240,131,0,356,0,0,50,3661,0
311,0500000US09130,11,73,8,0,489,716,7,44,0,430,354,23,8,361,13,0,93,2130,0
312,0500000US09140,18,102,114,0,1686,2115,248,255,19,1739,1972,0,0,499,0,0,124,5537,0
313,0500000US09150,0,40,0,0,65,778,57,89,0,0,293,0,21,163,0,0,0,398,0
314,0500000US09160,2,25,0,0,277,471,165,201,29,215,578,0,0,270,0,0,5,638,0
315,0500000US09170,13,475,95,0,1904,3386,129,586,5,346,3194,30,0,903,15,0,432,8771,55
316,0500000US09180,0,290,0,0,606,3831,177,178,0,30,607,0,6,554,6,5,9,4030,0
317,0500000US09190,27,299,58,0,1240,4081,104,387,75,823,2807,170,0,1924,0,0,652,11130,0
318,0500000US10001,0,382,2,0,325,1675,15,27,0,14,702,0,64,422,0,0,18,505,0
319,0500000US10003,0,179,60,0,1824,4547,271,82,33,45,2031,14,0,1150,0,0,531,7868,0
320,0500000US10005,0,93,0,0,646,1071,9,97,11,14,398,0,0,256,0,0,38,516,0
321,0500000US11001,19,357,97,0,2618,4081,548,36,243,133,4914,6,4,2330,5,39,851,9623,14
322,0500000US12001,0,18,38,0,1578,4260,305,28,0,41,1875,0,0,878,0,0,258,5223,0
323,0500000US12003,0,36,0,0,8,91,0,0,0,24,18,0,0,18,0,0,0,103,0
324,0500000US12005,0,559,0,0,1554,1781,18,21,0,0,742,8,0,295,0,0,56,378,0
325,0500000US12007,0,47,0,0,10,33,4,0,0,0,4,0,0,0,0,0,0,0,0
326,0500000US12009,33,1042,0,14,2808,6797,108,270,0,226,1560,0,0,2375,0,168,198,4965,12
327,0500000US12011,73,990,155,0,7585,12810,277,252,171,226,2967,0,52,3223,10,0,671,20314,0
328,0500000US12013,0,23,0,0,19,54,0,0,0,0,12,0,0,0,0,0,0,0,0
329,0500000US12015,0,137,23,0,338,1424,81,31,0,140,113,0,0,450,0,0,0,605,0
330,0500000US12017,0,101,0,0,154,1666,0,75,0,0,244,0,72,597,0,0,0,287,0
331,0500000US12019,0,184,156,0,387,6221,35,0,56,18,366,44,0,952,0,0,23,859,0
332,0500000US12021,0,50,10,0,973,1912,118,0,99,13,525,0,0,488,0,21,89,1771,0
333,0500000US12023,0,36,0,0,135,315,0,0,0,0,79,0,0,34,0,0,0,58,0
334,0500000US12027,0,0,0,0,0,0,0,0,0,10,18,0,0,12,0,0,0,53,0
335,0500000US12029,0,0,0,0,0,4,0,0,0,0,15,0,0,43,0,0,0,11,0
336,0500000US12031,17,910,14,0,5285,23613,84,812,2769,1925,2521,0,131,2011,8,24,306,5957,0
337,0500000US12033,0,161,26,12,1878,7076,143,100,22,167,973,9,58,1536,0,17,92,2948,0
338,0500000US12035,0,248,0,0,393,1084,67,0,26,50,116,105,0,279,0,0,0,637,0
339,0500000US12037,0,22,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
340,0500000US12039,0,0,0,0,0,42,13,0,0,0,0,0,0,10,0,0,0,27,0
341,0500000US12041,0,0,0,0,12,119,0,0,0,0,9,0,0,0,0,0,0,0,0
342,0500000US12043,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,40,0
343,0500000US12045,0,0,0,0,0,7,0,0,0,0,35,0,0,0,0,0,0,0,0
344,0500000US12047,0,14,0,0,5,60,0,0,0,0,51,0,0,0,0,0,0,0,0
345,0500000US12049,0,37,0,0,4,122,0,0,43,0,0,0,92,0,0,0,0,74,0
346,0500000US12051,0,0,40,0,0,24,0,0,0,0,0,0,0,0,0,0,0,127,0
347,0500000US12053,0,256,0,0,506,1072,53,26,250,0,132,0,0,348,0,0,0,513,0
348,0500000US12055,0,40,3,0,122,780,0,0,0,0,59,0,78,89,0,0,59,146,0
349,0500000US12057,0,2437,20,0,10511,12830,231,304,305,592,4715,30,262,3274,0,4,702,11549,5
350,0500000US12059,0,26,0,0,15,96,0,0,0,0,5,0,0,0,0,0,0,32,0
351,0500000US12061,0,196,22,0,665,684,0,17,39,19,268,0,90,350,0,0,0,559,0
352,0500000US12063,0,58,0,0,27,97,0,0,0,22,0,0,0,46,0,0,0,33,0
353,0500000US12065,0,0,0,0,0,102,0,0,0,0,0,0,0,13,0,0,0,0,0
354,0500000US12067,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
355,0500000US12069,0,233,26,0,2124,1771,109,0,19,37,687,0,0,896,0,0,0,1837,0
356,0500000US12071,29,308,36,0,2465,4405,138,643,188,185,561,20,0,828,0,0,111,4255,0
357,0500000US12073,0,365,23,0,1069,2291,8,13,56,54,892,0,0,816,0,0,121,3004,0
358,0500000US12075,0,0,0,0,0,102,0,0,0,9,6,0,0,75,0,0,0,137,0
359,0500000US12077,0,0,0,0,70,0,0,0,0,0,0,0,0,4,0,0,0,0,0
360,0500000US12079,0,0,0,0,2,0,0,0,0,0,21,0,0,0,0,0,0,1,0
361,0500000US12081,65,224,13,0,2819,2095,0,153,6,278,969,6,62,491,0,7,78,2264,0
362,0500000US12083,0,638,45,0,874,1149,85,12,0,116,753,0,0,995,0,0,196,1655,0
363,0500000US12085,0,284,0,0,316,947,0,0,16,27,186,0,0,59,0,0,0,697,0
364,0500000US12086,28,1647,90,0,3352,8261,409,422,192,154,2871,38,41,2537,0,0,848,18191,90
365,0500000US12087,0,9,0,0,121,582,0,0,0,0,55,0,0,66,9,0,18,355,0
366,0500000US12089,0,0,9,0,213,609,15,0,0,0,62,0,0,43,0,0,0,582,0
367,0500000US12091,0,1525,0,0,1055,4656,90,0,0,0,1046,0,82,875,0,19,59,677,0
368,0500000US12093,0,7,0,0,79,256,0,5,0,0,5,0,0,41,0,0,0,76,0
369,0500000US12095,77,1765,95,0,16083,14591,291,656,339,1136,3751,18,64,3930,0,37,713,17997,0
370,0500000US12097,0,130,0,0,1039,4709,0,785,29,161,365,0,0,252,0,0,47,2517,0
371,0500000US12099,0,1924,25,0,7466,8155,301,100,326,316,2633,0,0,2514,16,13,320,11015,33
372,0500000US12101,0,596,0,0,3724,5423,368,205,51,106,994,49,159,1190,0,16,95,3122,0
373,0500000US12103,36,1133,83,0,12447,8007,141,2019,402,1608,2255,20,197,1894,5,15,163,4427,12
374,0500000US12105,0,427,47,0,1065,4557,136,787,362,248,1107,0,94,840,0,0,102,2224,0
375,0500000US12107,0,15,0,0,39,109,0,250,0,0,32,0,0,32,0,0,0,40,0
376,0500000US12109,13,163,0,0,616,2625,166,32,12,34,745,0,14,1106,0,0,89,2363,0
377,0500000US12111,77,217,0,0,974,2876,5,50,0,67,337,0,0,530,0,0,0,1033,0
378,0500000US12113,0,171,40,0,695,2877,0,64,15,80,1231,35,0,1306,0,0,19,711,0
379,0500000US12115,0,626,66,0,1962,2063,140,51,204,46,661,0,0,473,0,0,27,2199,0
380,0500000US12117,0,614,38,0,4237,4637,173,192,167,76,2025,0,0,796,40,31,678,5113,0
381,0500000US12119,0,42,0,0,294,691,0,0,84,42,94,0,0,250,0,0,0,177,0
382,0500000US12121,0,0,0,0,11,82,0,0,0,0,4,0,0,0,0,0,0,138,0
383,0500000US12123,0,0,0,0,0,18,0,0,0,0,79,0,0,6,0,0,0,0,0
384,0500000US12125,0,0,0,0,3,87,0,15,0,0,18,0,0,4,0,0,0,6,0
385,0500000US12127,0,409,28,0,2820,3528,51,126,95,45,1156,0,138,785,0,0,135,2375,0
386,0500000US12129,0,7,0,0,7,117,0,0,0,0,0,0,0,151,0,0,13,56,0
387,0500000US12131,0,169,0,0,142,424,68,27,0,0,397,14,0,124,0,0,0,188,0
388,0500000US12133,0,24,0,0,71,77,11,0,0,0,52,0,0,6,0,0,0,33,0
389,0500000US13001,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,46,0
390,0500000US13003,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0
391,0500000US13005,0,0,0,0,9,39,0,0,0,0,0,0,0,0,0,0,0,0,0
392,0500000US13007,0,0,0,0,152,9,0,0,0,0,0,0,0,0,0,0,0,0,0
393,0500000US13009,0,13,0,0,0,7,12,0,0,0,505,0,0,9,0,0,61,47,0
394,0500000US13011,0,0,0,0,166,73,0,0,0,0,65,0,0,0,0,0,0,60,0
395,0500000US13013,0,11,0,0,260,261,34,155,0,95,276,0,2179,25,0,0,0,155,0
396,0500000US13015,0,0,33,0,254,711,0,7,0,91,81,0,0,109,0,0,28,49,0
397,0500000US13017,0,0,0,0,0,0,0,0,0,0,10,0,0,17,0,0,0,23,0
398,0500000US13019,0,0,0,0,74,13,0,0,162,0,97,0,0,0,0,0,0,0,0
399,0500000US13021,0,178,1,0,648,424,0,189,33,0,683,0,0,130,0,0,21,429,0
400,0500000US13023,0,0,0,0,14,34,0,0,12,0,30,0,0,3,0,0,0,51,0
401,0500000US13025,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,0500000US13027,0,0,0,0,0,91,0,0,0,0,4,0,0,61,0,0,0,0,0
403,0500000US13029,0,95,0,0,74,260,0,0,0,0,396,0,0,186,0,0,0,162,0
404,0500000US13031,0,65,3,0,137,394,0,0,0,0,89,0,6,101,0,0,3,300,0
405,0500000US13033,0,0,0,0,0,22,0,0,0,0,107,0,0,7,0,0,0,0,0
406,0500000US13035,0,0,0,0,6,6,0,0,0,0,0,0,0,5,0,0,0,24,0
407,0500000US13037,0,0,0,0,0,22,0,0,0,0,0,0,2,4,0,0,0,0,0
408,0500000US13039,0,40,0,0,63,585,8,0,0,124,142,0,0,281,0,0,0,177,0
409,0500000US13043,0,0,0,0,17,57,0,0,0,0,21,0,0,14,0,0,0,19,0
410,0500000US13045,0,190,0,0,109,346,39,105,43,81,83,0,0,119,0,0,1,185,0
411,0500000US13047,0,0,0,0,93,246,0,96,0,13,183,0,0,123,0,4,0,254,0
412,0500000US13049,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,1,0
413,0500000US13051,0,389,38,0,1854,2318,118,539,69,64,1089,0,0,488,0,0,0,3027,0
414,0500000US13053,0,3,0,0,0,256,0,0,0,17,43,0,16,13,0,0,8,66,0
415,0500000US13055,0,0,0,0,11,14,0,0,0,0,11,0,0,80,0,0,0,1,0
416,0500000US13057,0,80,0,0,615,1623,112,0,0,422,706,0,0,810,0,0,90,1329,0
417,0500000US13059,0,87,40,0,461,544,13,86,572,7,882,0,92,190,0,0,50,1514,0
418,0500000US13061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
419,0500000US13063,0,280,25,0,9929,1283,49,1107,4,982,422,0,0,386,0,0,0,1302,0
420,0500000US13065,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,3,0
421,0500000US13067,44,589,113,0,5270,4624,236,528,144,573,4471,6,0,2002,0,0,599,6580,0
422,0500000US13069,0,105,0,0,58,2,0,0,0,0,15,0,0,67,0,0,0,8,0
423,0500000US13071,0,0,0,0,245,58,0,0,0,0,75,0,0,0,0,0,0,19,0
424,0500000US13073,0,92,0,0,1581,1375,0,0,0,46,1869,75,0,764,0,19,134,954,0
425,0500000US13075,0,0,0,0,26,117,0,0,0,0,24,0,0,0,0,0,0,8,0
426,0500000US13077,0,15,0,0,782,519,0,16,0,13,783,0,0,570,0,0,11,847,0
427,0500000US13079,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,11,0
428,0500000US13081,0,0,0,0,63,0,0,0,0,0,59,0,0,32,0,0,0,54,0
429,0500000US13083,0,0,0,0,9,2,0,0,0,0,4,0,0,6,0,0,0,4,0
430,0500000US13085,0,0,0,0,0,235,0,0,0,0,90,0,0,0,0,0,0,10,0
431,0500000US13087,0,9,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0
432,0500000US13089,76,1176,185,0,4670,3505,212,230,3047,423,4688,0,36,1979,0,19,565,9680,7
433,0500000US13091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
434,0500000US13093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
435,0500000US13095,0,21,0,0,84,298,0,0,0,0,62,0,0,183,0,0,62,273,0
436,0500000US13097,0,55,0,0,763,422,0,0,0,0,137,0,0,64,0,0,0,153,0
437,0500000US13099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0
438,0500000US13101,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,187,0
439,0500000US13103,0,272,0,0,122,332,6,0,0,0,72,18,0,111,0,0,0,199,0
440,0500000US13105,0,0,0,0,86,12,0,0,0,0,46,0,0,9,0,0,0,0,0
441,0500000US13107,0,0,4,0,6,6,0,0,0,0,7,0,0,0,0,0,0,0,0
442,0500000US13109,0,0,0,0,6,34,0,0,0,0,0,0,0,0,0,0,0,1,0
443,0500000US13111,0,10,0,0,39,90,0,0,0,0,39,0,0,0,0,0,5,39,0
444,0500000US13113,0,122,30,0,519,959,60,178,0,451,1084,0,0,1066,0,0,32,878,0
445,0500000US13115,0,74,0,0,314,103,0,8,0,0,216,8,0,118,0,8,0,281,0
446,0500000US13117,0,89,31,0,1541,1977,60,185,20,155,3945,16,34,645,0,33,172,6077,0
447,0500000US13119,0,0,0,0,313,32,25,0,0,0,29,0,0,9,0,0,0,3,0
448,0500000US13121,24,682,256,0,3478,6677,681,274,87,202,10729,34,79,4113,0,0,1179,19519,0
